Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District,Seasono,Unnamed: 0,Arrivalso,Present
2011,11.0,5,Autumn,633.0,36.0,2168.0,6940.0,422.0,295.0,10494.0,Salten-Schlern,Autumn,1021500,10494,39104
2011,11.0,6,Autumn,1254.0,88.0,3929.0,7020.0,907.0,493.0,13691.0,Uberetsch-Unterland,Autumn,1393606,13691,47724
2011,11.0,7,Autumn,426.0,71.0,2574.0,5833.0,878.0,555.0,10337.0,Vinschgau,Autumn,1002099,10337,38593
2011,11.0,8,Autumn,789.0,87.0,2068.0,5757.0,356.0,110.0,9167.0,Wipptal,Autumn,499000,9167,25311
2011,12.0,1,Winter,643.0,125.0,2046.0,20172.0,1922.0,543.0,25451.0,Bozen,Winter,90465,25451,53589
2011,12.0,2,Winter,1279.0,288.0,11226.0,45730.0,1779.0,2227.0,62529.0,Burggrafenamt,Winter,1999892,62529,188873
2011,12.0,3,Winter,924.0,565.0,12036.0,30612.0,2835.0,742.0,47714.0,Eisacktal,Winter,1120374,47714,158220
2011,12.0,4,Winter,1815.0,3464.0,34383.0,118102.0,17324.0,1291.0,176379.0,Pustertal,Winter,2318219,176379,725920
2011,12.0,5,Winter,997.0,2551.0,17534.0,57676.0,9187.0,1323.0,89268.0,Salten-Schlern,Winter,1172373,89268,371474
2011,12.0,6,Winter,897.0,173.0,3204.0,16254.0,865.0,586.0,21979.0,Uberetsch-Unterland,Winter,1389717,21979,62604
2011,12.0,7,Winter,730.0,805.0,11501.0,9413.0,1845.0,915.0,25209.0,Vinschgau,Winter,1136031,25209,103368
2011,12.0,8,Winter,393.0,330.0,9592.0,21688.0,922.0,295.0,33220.0,Wipptal,Winter,535211,33220,107251
2012,1.0,1,Winter,571.0,127.0,1659.0,11505.0,1881.0,213.0,15956.0,Bozen,Winter,94287,15956,35339
2012,1.0,2,Winter,642.0,128.0,7051.0,18136.0,1486.0,849.0,28292.0,Burggrafenamt,Winter,2115014,28292,139518
2012,1.0,3,Winter,1014.0,653.0,23503.0,18866.0,4337.0,864.0,49237.0,Eisacktal,Winter,1134666,49237,227539
2012,1.0,4,Winter,3519.0,5443.0,71659.0,115060.0,35878.0,1827.0,233386.0,Pustertal,Winter,2446476,233386,1262432
2012,1.0,5,Winter,1564.0,5525.0,33711.0,50181.0,24418.0,2001.0,117400.0,Salten-Schlern,Winter,1220560,117400,689947
2012,1.0,6,Winter,230.0,98.0,2247.0,7591.0,1429.0,311.0,11906.0,Uberetsch-Unterland,Winter,1447522,11906,50144
