Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District
2011,10.0,1,Autumn,3287.0,216.0,8345.0,8760.0,3607.0,1398.0,25613.0,Bozen
2011,10.0,2,Autumn,11310.0,746.0,102605.0,15851.0,2510.0,20568.0,153590.0,Burggrafenamt
2011,10.0,3,Autumn,4646.0,442.0,35963.0,8777.0,1398.0,2346.0,53572.0,Eisacktal
2011,10.0,4,Autumn,4220.0,422.0,33968.0,20138.0,1375.0,3209.0,63332.0,Pustertal
2011,10.0,5,Autumn,2804.0,370.0,29777.0,10523.0,1504.0,3291.0,48269.0,Salten-Schlern
2011,10.0,6,Autumn,6964.0,260.0,33866.0,5525.0,1191.0,4393.0,52199.0,Uberetsch-Unterland
2011,10.0,7,Autumn,2017.0,240.0,17476.0,10246.0,1582.0,5260.0,36821.0,Vinschgau
2011,10.0,8,Autumn,1512.0,257.0,15348.0,5687.0,657.0,1043.0,24504.0,Wipptal
2011,11.0,1,Autumn,1223.0,141.0,2849.0,10838.0,1755.0,476.0,17282.0,Bozen
2011,11.0,2,Autumn,3103.0,136.0,9496.0,17802.0,1403.0,2930.0,34870.0,Burggrafenamt
2011,11.0,3,Autumn,2132.0,96.0,5421.0,6513.0,586.0,356.0,15104.0,Eisacktal
2011,11.0,4,Autumn,1082.0,69.0,3136.0,8975.0,649.0,297.0,14208.0,Pustertal
2011,11.0,5,Autumn,633.0,36.0,2168.0,6940.0,422.0,295.0,10494.0,Salten-Schlern
2011,11.0,6,Autumn,1254.0,88.0,3929.0,7020.0,907.0,493.0,13691.0,Uberetsch-Unterland
2011,11.0,7,Autumn,426.0,71.0,2574.0,5833.0,878.0,555.0,10337.0,Vinschgau
2011,11.0,8,Autumn,789.0,87.0,2068.0,5757.0,356.0,110.0,9167.0,Wipptal
2011,12.0,1,Winter,643.0,125.0,2046.0,20172.0,1922.0,543.0,25451.0,Bozen
2011,12.0,2,Winter,1279.0,288.0,11226.0,45730.0,1779.0,2227.0,62529.0,Burggrafenamt
2011,12.0,3,Winter,924.0,565.0,12036.0,30612.0,2835.0,742.0,47714.0,Eisacktal
2011,12.0,4,Winter,1815.0,3464.0,34383.0,118102.0,17324.0,1291.0,176379.0,Pustertal
2011,12.0,5,Winter,997.0,2551.0,17534.0,57676.0,9187.0,1323.0,89268.0,Salten-Schlern
2011,12.0,6,Winter,897.0,173.0,3204.0,16254.0,865.0,586.0,21979.0,Uberetsch-Unterland
2011,12.0,7,Winter,730.0,805.0,11501.0,9413.0,1845.0,915.0,25209.0,Vinschgau
2011,12.0,8,Winter,393.0,330.0,9592.0,21688.0,922.0,295.0,33220.0,Wipptal
2012,1.0,1,Winter,571.0,127.0,1659.0,11505.0,1881.0,213.0,15956.0,Bozen
2012,1.0,2,Winter,642.0,128.0,7051.0,18136.0,1486.0,849.0,28292.0,Burggrafenamt
2012,1.0,3,Winter,1014.0,653.0,23503.0,18866.0,4337.0,864.0,49237.0,Eisacktal
2012,1.0,4,Winter,3519.0,5443.0,71659.0,115060.0,35878.0,1827.0,233386.0,Pustertal
2012,1.0,5,Winter,1564.0,5525.0,33711.0,50181.0,24418.0,2001.0,117400.0,Salten-Schlern
2012,1.0,6,Winter,230.0,98.0,2247.0,7591.0,1429.0,311.0,11906.0,Uberetsch-Unterland
2012,1.0,7,Winter,556.0,754.0,16141.0,6814.0,2922.0,1988.0,29175.0,Vinschgau
2012,1.0,8,Winter,457.0,452.0,16947.0,11925.0,1039.0,179.0,30999.0,Wipptal
2012,2.0,1,Winter,673.0,261.0,1943.0,7150.0,1662.0,226.0,11915.0,Bozen
2012,2.0,2,Winter,1184.0,530.0,9519.0,9512.0,1424.0,1416.0,23585.0,Burggrafenamt
2012,2.0,3,Winter,1529.0,2734.0,27953.0,11735.0,7140.0,1202.0,52293.0,Eisacktal
2012,2.0,4,Winter,6542.0,12386.0,79239.0,93376.0,30014.0,2106.0,223663.0,Pustertal
2012,2.0,5,Winter,2607.0,10266.0,41455.0,41420.0,21987.0,2291.0,120026.0,Salten-Schlern
2012,2.0,6,Winter,361.0,499.0,2696.0,3615.0,1439.0,186.0,8796.0,Uberetsch-Unterland
2012,2.0,7,Winter,866.0,3390.0,20154.0,5201.0,3157.0,2728.0,35496.0,Vinschgau
2012,2.0,8,Winter,729.0,1588.0,19793.0,8260.0,1533.0,524.0,32427.0,Wipptal
2012,3.0,1,Spring,1210.0,176.0,3700.0,8788.0,1985.0,349.0,16208.0,Bozen
2012,3.0,2,Spring,2737.0,276.0,21919.0,11202.0,1771.0,3525.0,41430.0,Burggrafenamt
2012,3.0,3,Spring,1488.0,1099.0,19191.0,9452.0,4895.0,582.0,36707.0,Eisacktal
2012,3.0,4,Spring,4604.0,6846.0,60939.0,58658.0,19245.0,1454.0,151746.0,Pustertal
2012,3.0,5,Spring,2302.0,5142.0,30420.0,30720.0,14023.0,1505.0,84112.0,Salten-Schlern
2012,3.0,6,Spring,1120.0,362.0,7068.0,5188.0,1509.0,649.0,15896.0,Uberetsch-Unterland
2012,3.0,7,Spring,1208.0,977.0,21928.0,6267.0,4096.0,2076.0,36552.0,Vinschgau
2012,3.0,8,Spring,663.0,350.0,17308.0,6238.0,1400.0,193.0,26152.0,Wipptal
2012,4.0,1,Spring,1878.0,263.0,6454.0,8041.0,2803.0,1135.0,20574.0,Bozen
2012,4.0,2,Spring,8382.0,917.0,80366.0,13775.0,2203.0,18868.0,124511.0,Burggrafenamt
2012,4.0,3,Spring,1260.0,313.0,16808.0,7608.0,1215.0,1048.0,28252.0,Eisacktal
2012,4.0,4,Spring,1329.0,2304.0,19071.0,17997.0,1860.0,990.0,43551.0,Pustertal
2012,4.0,5,Spring,822.0,497.0,11937.0,8995.0,1212.0,813.0,24276.0,Salten-Schlern
2012,4.0,6,Spring,4185.0,611.0,25913.0,6375.0,1450.0,3735.0,42269.0,Uberetsch-Unterland
2012,4.0,7,Spring,1669.0,636.0,18152.0,5569.0,1217.0,4381.0,31624.0,Vinschgau
2012,4.0,8,Spring,401.0,208.0,8546.0,5426.0,715.0,325.0,15621.0,Wipptal
2012,5.0,1,Spring,1944.0,573.0,6817.0,10243.0,3530.0,1247.0,24354.0,Bozen
2012,5.0,2,Spring,7846.0,1897.0,84721.0,11613.0,3555.0,18418.0,128050.0,Burggrafenamt
2012,5.0,3,Spring,2788.0,873.0,23667.0,8996.0,2096.0,1227.0,39647.0,Eisacktal
2012,5.0,4,Spring,2543.0,1037.0,21939.0,11695.0,2086.0,2080.0,41380.0,Pustertal
2012,5.0,5,Spring,1735.0,581.0,17510.0,9724.0,1782.0,1838.0,33170.0,Salten-Schlern
2012,5.0,6,Spring,4938.0,954.0,30510.0,11072.0,1803.0,4093.0,53370.0,Uberetsch-Unterland
2012,5.0,7,Spring,1536.0,962.0,14657.0,3904.0,1060.0,4758.0,26877.0,Vinschgau
2012,5.0,8,Spring,761.0,457.0,10597.0,4203.0,1158.0,374.0,17550.0,Wipptal
2012,6.0,1,Summer,2075.0,791.0,7350.0,6361.0,5943.0,1205.0,23725.0,Bozen
2012,6.0,2,Summer,6769.0,3317.0,93111.0,13097.0,4608.0,12721.0,133623.0,Burggrafenamt
2012,6.0,3,Summer,2507.0,1540.0,33307.0,9498.0,3377.0,1361.0,51590.0,Eisacktal
2012,6.0,4,Summer,4962.0,4655.0,44562.0,56382.0,8386.0,3146.0,122093.0,Pustertal
2012,6.0,5,Summer,3082.0,2104.0,36363.0,24859.0,5755.0,3081.0,75244.0,Salten-Schlern
2012,6.0,6,Summer,5710.0,1802.0,34420.0,6210.0,2186.0,3119.0,53447.0,Uberetsch-Unterland
2012,6.0,7,Summer,2179.0,2253.0,23608.0,8609.0,2484.0,4039.0,43172.0,Vinschgau
2012,6.0,8,Summer,1178.0,1131.0,12099.0,6105.0,1331.0,610.0,22454.0,Wipptal
2012,7.0,1,Summer,1856.0,2337.0,8724.0,6594.0,7580.0,1393.0,28484.0,Bozen
2012,7.0,2,Summer,7086.0,9841.0,97288.0,19969.0,7185.0,18951.0,160320.0,Burggrafenamt
2012,7.0,3,Summer,2831.0,5244.0,33533.0,22891.0,5881.0,2179.0,72559.0,Eisacktal
2012,7.0,4,Summer,5581.0,9847.0,46259.0,136344.0,14225.0,4916.0,217172.0,Pustertal
2012,7.0,5,Summer,2928.0,5128.0,38535.0,53660.0,8899.0,4121.0,113271.0,Salten-Schlern
2012,7.0,6,Summer,4369.0,5455.0,34657.0,8381.0,5570.0,5149.0,63581.0,Uberetsch-Unterland
2012,7.0,7,Summer,2921.0,7211.0,29114.0,20472.0,4010.0,6256.0,69984.0,Vinschgau
2012,7.0,8,Summer,1084.0,3705.0,12770.0,13385.0,3062.0,844.0,34850.0,Wipptal
