Year,Month,District,Nationality,Arrivals,Present
2010,1.0,Plaus,Schweiz und Liechtenstein,3,13
2010,1.0,Plaus,Österreich,3,47
2010,1.0,Prad am Stilfser Joch,Andere Länder,84,297
2010,1.0,Prad am Stilfser Joch,Beneluxstaaten,9,40
2010,1.0,Prad am Stilfser Joch,Deutschland,328,2003
2010,1.0,Prad am Stilfser Joch,Italien,459,2559
2010,1.0,Prad am Stilfser Joch,Schweiz und Liechtenstein,15,56
2010,1.0,Prad am Stilfser Joch,Österreich,2,9
2010,1.0,Prags,Andere Länder,59,230
2010,1.0,Prags,Beneluxstaaten,50,196
2010,1.0,Prags,Deutschland,642,3635
2010,1.0,Prags,Italien,1785,7170
2010,1.0,Prags,Schweiz und Liechtenstein,13,56
2010,1.0,Prags,Österreich,16,76
2010,1.0,Prettau,Andere Länder,14,70
2010,1.0,Prettau,Deutschland,348,1620
2010,1.0,Prettau,Italien,171,960
2010,1.0,Prettau,Schweiz und Liechtenstein,2,8
2010,1.0,Prettau,Österreich,20,76
2010,1.0,Proveis,Deutschland,0,4
2010,1.0,Proveis,Italien,2,24
2010,1.0,Rasen-Antholz,Andere Länder,1613,9718
2010,1.0,Rasen-Antholz,Beneluxstaaten,200,1264
2010,1.0,Rasen-Antholz,Deutschland,4315,26462
2010,1.0,Rasen-Antholz,Italien,3677,18624
2010,1.0,Rasen-Antholz,Schweiz und Liechtenstein,77,318
2010,1.0,Rasen-Antholz,Österreich,302,1302
2010,1.0,Ratschings,Andere Länder,259,1550
2010,1.0,Ratschings,Beneluxstaaten,113,661
2010,1.0,Ratschings,Deutschland,9146,42841
2010,1.0,Ratschings,Italien,5494,20341
2010,1.0,Ratschings,Schweiz und Liechtenstein,172,551
2010,1.0,Ratschings,Österreich,466,1193
2010,1.0,Riffian,Italien,7,70
2010,1.0,Ritten,Andere Länder,236,1432
2010,1.0,Ritten,Beneluxstaaten,78,532
2010,1.0,Ritten,Deutschland,860,5026
2010,1.0,Ritten,Italien,2321,9136
2010,1.0,Ritten,Schweiz und Liechtenstein,23,200
2010,1.0,Ritten,Österreich,76,250
2010,1.0,Rodeneck,Andere Länder,273,682
2010,1.0,Rodeneck,Beneluxstaaten,0,3
2010,1.0,Rodeneck,Deutschland,970,5067
2010,1.0,Rodeneck,Italien,653,2688
2010,1.0,Rodeneck,Schweiz und Liechtenstein,0,2
2010,1.0,Rodeneck,Österreich,2,6
2010,1.0,Salurn,Andere Länder,151,276
2010,1.0,Salurn,Deutschland,6,35
2010,1.0,Salurn,Italien,201,563
2010,1.0,Salurn,Schweiz und Liechtenstein,1,5
2010,1.0,Salurn,Österreich,8,33
2010,1.0,Sand in Taufers,Andere Länder,402,2515
2010,1.0,Sand in Taufers,Beneluxstaaten,67,439
2010,1.0,Sand in Taufers,Deutschland,3986,22334
2010,1.0,Sand in Taufers,Italien,3846,17347
2010,1.0,Sand in Taufers,Schweiz und Liechtenstein,26,124
2010,1.0,Sand in Taufers,Österreich,171,571
2010,1.0,Sarntal,Andere Länder,205,853
2010,1.0,Sarntal,Beneluxstaaten,30,133
2010,1.0,Sarntal,Deutschland,770,3947
2010,1.0,Sarntal,Italien,1274,5723
2010,1.0,Sarntal,Schweiz und Liechtenstein,6,12
2010,1.0,Sarntal,Österreich,75,204
2010,1.0,Schenna,Andere Länder,43,645
2010,1.0,Schenna,Beneluxstaaten,10,179
2010,1.0,Schenna,Deutschland,252,3637
2010,1.0,Schenna,Italien,1157,7126
2010,1.0,Schenna,Schweiz und Liechtenstein,73,503
2010,1.0,Schenna,Österreich,13,56
2010,1.0,Schlanders,Andere Länder,64,761
2010,1.0,Schlanders,Beneluxstaaten,7,98
2010,1.0,Schlanders,Deutschland,209,776
2010,1.0,Schlanders,Italien,516,2568
2010,1.0,Schlanders,Schweiz und Liechtenstein,8,104
2010,1.0,Schlanders,Österreich,21,61
2010,1.0,Schluderns,Andere Länder,10,79
2010,1.0,Schluderns,Beneluxstaaten,1,14
2010,1.0,Schluderns,Deutschland,448,1517
2010,1.0,Schluderns,Italien,65,474
2010,1.0,Schluderns,Schweiz und Liechtenstein,30,150
2010,1.0,Schluderns,Österreich,19,94
2010,1.0,Schnals,Andere Länder,1660,8365
2010,1.0,Schnals,Beneluxstaaten,16,94
2010,1.0,Schnals,Deutschland,1613,9528
2010,1.0,Schnals,Italien,1785,9550
2010,1.0,Schnals,Schweiz und Liechtenstein,108,298
2010,1.0,Schnals,Österreich,38,121
2010,1.0,Sexten,Andere Länder,1144,6185
2010,1.0,Sexten,Beneluxstaaten,150,1027
2010,1.0,Sexten,Deutschland,2929,20694
2010,1.0,Sexten,Italien,10032,46208
2010,1.0,Sexten,Schweiz und Liechtenstein,60,388
2010,1.0,Sexten,Österreich,260,924
2010,1.0,St.Christina in Gröden,Andere Länder,2512,16111
2010,1.0,St.Christina in Gröden,Beneluxstaaten,761,4378
2010,1.0,St.Christina in Gröden,Deutschland,2671,14793
2010,1.0,St.Christina in Gröden,Italien,3721,20204
2010,1.0,St.Christina in Gröden,Schweiz und Liechtenstein,68,295
2010,1.0,St.Christina in Gröden,Österreich,210,792
