,Year,Month,District,Category,Arrivals,Present
432,2010,7.0,Val Venosta,1-2 Star Hotel,7368,26598
433,2010,7.0,Val Venosta,3 Star Hotel,21894,93333
434,2010,7.0,Val Venosta,4-5 Star Hotel,9872,47951
435,2010,7.0,Val Venosta,Other,4360,5845
436,2010,7.0,Val Venosta,Campings,10147,51375
437,2010,7.0,Val Venosta,Private Lodging,2493,16185
438,2010,7.0,Val Venosta,Private Lodging,36,234
439,2010,7.0,Val Venosta,Residence,5560,37648
440,2010,7.0,Val Venosta,Agricaltural Lodging,3161,23448
441,2010,7.0,Alta Valle Isarco,1-2 Star Hotel,5854,17222
442,2010,7.0,Alta Valle Isarco,3 Star Hotel,11005,44298
443,2010,7.0,Alta Valle Isarco,4-5 Star Hotel,10166,49649
444,2010,7.0,Alta Valle Isarco,Other,1452,7922
445,2010,7.0,Alta Valle Isarco,Campings,1540,4805
446,2010,7.0,Alta Valle Isarco,Private Lodging,716,4971
